MM TOURNAMENT REPORT: /opt/LIGHTER_Market_Making/logs/tournament/20260621T_STAGE2_PROMISING_L2_HIGH

SYMBOL   SLOTS FILLED   FILLS         VOL  PROF BEST_SCORE   BEST_PNL BEST FILE
------------------------------------------------------------------------------------------------------------------------
AERO       480    224     512 $  40300.33   224     287.48 $   3.5907 state_AERO_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh70.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json
AXS        480    480    1440 $ 110009.82   480     182.39 $   9.2444 state_AXS_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh70.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
EDGE       480    160     480 $  37358.59    32      24.31 $   0.3287 state_EDGE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh55.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
EIGEN      480    480    4871 $ 337409.53   480     280.43 $  26.5231 state_EIGEN_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh55.0_ls1.0_ks1.0_es1.0_ss1.0_c0.04_l2.json
ETH        480    480    4272 $ 296866.38   480     134.24 $   6.4226 state_ETH_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.8_vs0.1_minh6.0_maxh70.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json
HYPE       480    480    1781 $ 134043.99   480     397.94 $   7.7435 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json
LIT        480    480    3488 $ 246933.26   320      75.91 $   8.5931 state_LIT_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
SPX        480    320     512 $  39895.43     0     -46.15 $   0.0000 state_SPX_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh3.0_maxh55.0_ls1.0_ks1.0_es1.0_ss1.0_c0.08_l2.json
TAO        480    480    1369 $ 101121.65   192      40.46 $   2.7231 state_TAO_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh6.0_maxh55.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
XMR        480    144     144 $  11514.59     0    -390.65 $   0.0000 state_XMR_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.0_vs0.1_minh4.0_maxh55.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
ZEC        480    480    2511 $ 171879.78   281     213.44 $   6.1262 state_ZEC_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.3_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.1_l2.json

TOP 100 GLOBAL BY QUALITY SCORE
  # SYM          SCORE        PNL   FILLS         VOL    SPRD    ADV5    sm   max   cap% FILE
------------------------------------------------------------------------------------------------------------------------------------
 59 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   1.3  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.3_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 60 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   1.3  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.3_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 61 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62  1.45  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 62 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62  1.45  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 63 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62  1.45  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 64 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62  1.45  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 65 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62  1.45  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 66 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62  1.45  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 67 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62  1.45  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 68 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62  1.45  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.45_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 69 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62  1.65  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.65_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 70 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62  1.65  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.65_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 71 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62  1.65  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.65_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 72 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62  1.65  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.65_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 73 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62  1.65  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.65_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 74 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62  1.65  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.65_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 75 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62  1.65  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.65_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 76 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62  1.65  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.65_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 77 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   1.8  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.8_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 78 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   1.8  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.8_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 79 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   1.8  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.8_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 80 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   1.8  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.8_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 81 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   1.8  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.8_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 82 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   1.8  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.8_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 83 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   1.8  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.8_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 84 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   1.8  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm1.8_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 85 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   2.2  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.2_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 86 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   2.2  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.2_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 87 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   2.2  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.2_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 88 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   2.2  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.2_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 89 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   2.2  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.2_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 90 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   2.2  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.2_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 91 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   2.2  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.2_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 92 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   2.2  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.2_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 93 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   2.7  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.7_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 94 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   2.7  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.7_vs0.1_minh3.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 95 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   2.7  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.7_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 96 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   2.7  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.7_vs0.1_minh4.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 97 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   2.7  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.7_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
 98 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   2.7  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.7_vs0.1_minh5.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
 99 HYPE        391.57 $   2.3940       1 $     59.52   -1.41   14.62   2.7  90.0   0.06 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.7_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.06_l2.json
100 HYPE        391.57 $   4.7880       1 $    119.05   -1.41   14.62   2.7  90.0   0.12 state_HYPE_cj_dyn_asymmetric_lp0.3_lm0.3_kp0.035_km0.035_ep4.0_em4.0_a0.001_ph8e-05_sm2.7_vs0.1_minh6.0_maxh90.0_ls1.0_ks1.0_es1.0_ss1.0_c0.12_l2.json
